ID,Lapse,NumOfReinstated,NumOfClaims,NumOfEmails,NumOfCalls,DaysOfInforce,PO_Age,PO_Sex,PO_Married,PO_Occupation,PO_Email,PO_Phone,INS_Age,INS_Sex,SumInsured ,Premium,CoveragePeriod,Products,NumOfRidders,PaymentTerm,DistributionChannel,Agent,AgentYearSVR,AgentVisitPO,AgentCallPO
1,1,0,3,2,1,,43,female,1,1,,1,43,female,,"16,884.92",2,,,2,1,,1,,
2,0,0,5,1,1,,28,female,0,2,,0,18,male,,"1,725.55",1,,,2,2,,3,,
3,0,0,0,1,1,,56,male,0,1,,1,56,male,,"4,449.46",3,,,1,4,,2,,
4,0,1,0,3,1,,33,male,0,3,,1,33,male,,"21,984.47",1,,,3,1,,2,,
5,1,0,0,0,1,,32,male,1,1,,0,32,male,,"3,866.86",1,,,4,3,,1,,
6,0,1,0,0,0,,29,male,1,2,,0,31,female,,"3,756.62",1,,,4,1,,2,,
7,0,1,0,1,0,,46,female,1,4,,1,46,female,,"8,240.59",3,,,4,2,,2,,
8,0,0,0,0,0,,38,male,1,3,,1,37,female,,"7,281.51",3,,,2,2,,2,,
9,0,0,0,1,0,,29,female,0,2,,0,37,male,,"6,406.41",1,,,4,2,,2,,
10,0,0,0,1,0,,44,female,0,1,,0,60,female,,"28,923.14",2,,,3,4,,3,,
11,0,0,0,0,0,,54,female,0,3,,0,25,male,,"2,721.32",2,,,3,2,,1,,
12,1,0,2,2,0,,33,male,1,2,,1,62,female,,"27,808.73",1,,,4,1,,2,,
13,1,0,0,1,0,,33,female,0,3,,0,33,male,,"1,826.84",2,,,4,4,,1,,
14,0,0,1,1,0,,48,male,1,1,,1,56,female,,"11,090.72",2,,,2,3,,1,,
15,1,0,0,1,1,,45,female,0,3,,1,27,male,,"39,611.76",3,,,4,2,,1,,
16,0,1,1,3,0,,33,female,1,1,,1,19,male,,"1,837.24",2,,,2,1,,1,,
17,0,0,0,3,2,,35,female,1,1,,0,52,female,,"10,797.34",3,,,1,2,,2,,
18,1,2,0,1,1,,55,male,1,3,,1,55,male,,"2,395.17",1,,,4,2,,2,,
19,0,0,0,3,1,,36,male,1,1,,0,56,male,,"10,602.39",2,,,4,2,,1,,
20,1,3,0,1,0,,42,male,1,2,,1,30,male,,"36,837.47",1,,,4,2,,3,,
21,0,0,0,1,1,,60,female,1,4,,0,60,female,,"13,228.85",3,,,2,1,,1,,
22,0,0,0,1,0,,32,female,0,3,,1,32,female,,"4,149.74",2,,,2,2,,2,,
23,0,0,2,1,2,,30,male,1,3,,1,18,male,,"1,137.01",1,,,2,1,,2,,
24,1,0,0,0,0,,32,male,0,2,,0,34,female,,"37,701.88",2,,,2,1,,2,,
25,1,1,0,0,1,,46,male,0,2,,1,37,male,,"6,203.90",2,,,2,4,,1,,
26,0,0,0,1,0,,30,male,1,1,,1,59,female,,"14,001.13",3,,,3,2,,1,,
27,0,1,0,1,1,,49,female,1,4,,1,63,female,,"14,451.84",3,,,4,2,,3,,
28,0,1,1,1,1,,29,male,0,1,,0,55,female,,"12,268.63",2,,,2,1,,3,,
29,0,0,2,1,1,,44,male,1,1,,0,44,male,,"2,775.19",3,,,4,1,,1,,
30,1,2,0,1,0,,52,female,1,1,,1,31,male,,"38,711.00",2,,,2,2,,2,,
31,1,0,0,1,0,,49,male,1,3,,0,22,male,,"35,585.58",1,,,4,4,,2,,
32,0,0,0,0,0,,36,female,0,1,,0,18,female,,"2,198.19",2,,,3,3,,2,,
33,0,0,0,1,1,,58,male,1,3,,1,19,female,,"4,687.80",1,,,4,4,,2,,
